timestamp,main_meter(kW)
2020-01-01 00:00:00+00:00,125.03571319580078
2020-01-01 00:30:00+00:00,125.53035736083984
2020-01-01 01:00:00+00:00,125.76666641235352
2020-01-01 01:30:00+00:00,126.25079154968262
2020-01-01 02:00:00+00:00,127.22321319580078
2020-01-01 02:30:00+00:00,126.84821319580078
2020-01-01 03:00:00+00:00,121.6340675354004
2020-01-01 03:30:00+00:00,133.9129295349121
2020-01-01 04:00:00+00:00,287.5714302062988
2020-01-01 04:30:00+00:00,356.2121262550354
2020-01-01 05:00:00+00:00,324.8000030517578
2020-01-01 05:30:00+00:00,319.9910717010498
2020-01-01 06:00:00+00:00,313.81666564941406
2020-01-01 06:30:00+00:00,308.2203435897827
2020-01-01 07:00:00+00:00,318.4375
2020-01-01 07:30:00+00:00,314.4999885559082
2020-01-01 08:00:00+00:00,318.81817626953125
2020-01-01 08:30:00+00:00,314.9791250228882
2020-01-01 09:00:00+00:00,308.63194274902344
2020-01-01 09:30:00+00:00,307.59642219543457
2020-01-01 10:00:00+00:00,309.39330673217773
2020-01-01 10:30:00+00:00,309.08376121521
2020-01-01 11:00:00+00:00,308.2893829345703
2020-01-01 11:30:00+00:00,313.7777762413025
2020-01-01 12:00:00+00:00,314.9666700363159
2020-01-01 12:30:00+00:00,291.4256372451782
2020-01-01 13:00:00+00:00,258.722620010376
2020-01-01 13:30:00+00:00,268.15384578704834
2020-01-01 14:00:00+00:00,260.27916526794434
2020-01-01 14:30:00+00:00,272.7357110977173
2020-01-01 15:00:00+00:00,274.0999984741211
2020-01-01 15:30:00+00:00,248.1550302505493
2020-01-01 16:00:00+00:00,194.08888816833496
2020-01-01 16:30:00+00:00,210.7874984741211
2020-01-01 17:00:00+00:00,188.1666641235352
2020-01-01 17:30:00+00:00,178.28889274597168
2020-01-01 18:00:00+00:00,188.625
2020-01-01 18:30:00+00:00,184.89999961853027
2020-01-01 19:00:00+00:00,185.6640167236328
2020-01-01 19:30:00+00:00,187.51786041259768
2020-01-01 20:00:00+00:00,182.875
2020-01-01 20:30:00+00:00,138.61249923706055
2020-01-01 21:00:00+00:00,143.16483688354492
2020-01-01 21:30:00+00:00,133.52479934692383
2020-01-01 22:00:00+00:00,137.25238037109375
2020-01-01 22:30:00+00:00,140.35833358764648
2020-01-01 23:00:00+00:00,139.71805572509766
2020-01-01 23:30:00+00:00,135.47222137451172
2020-01-02 00:00:00+00:00,136.32500076293945
2020-01-02 00:30:00+00:00,134.45833206176758
2020-01-02 01:00:00+00:00,138.01538276672363
2020-01-02 01:30:00+00:00,138.21428680419922
2020-01-02 02:00:00+00:00,140.0446434020996
2020-01-02 02:30:00+00:00,138.09166526794434
2020-01-02 03:00:00+00:00,137.83333206176758
2020-01-02 03:30:00+00:00,143.60000228881836
2020-01-02 04:00:00+00:00,284.6298084259033
2020-01-02 04:30:00+00:00,352.7341289520264
2020-01-02 05:00:00+00:00,311.31666564941406
2020-01-02 05:30:00+00:00,356.179482460022
2020-01-02 06:00:00+00:00,343.9166564941406
2020-01-02 06:30:00+00:00,344.4666700363159
2020-01-02 07:00:00+00:00,340.33016300201416
2020-01-02 07:30:00+00:00,337.6306777000427
2020-01-02 08:00:00+00:00,356.71665954589844
2020-01-02 08:30:00+00:00,346.7666778564453
2020-01-02 09:00:00+00:00,329.1899390220642
2020-01-02 09:30:00+00:00,319.2666749954224
