timestamp,main_meter(kW),PV_battery_system(kW)
2021-01-01 00:00:00+00:00,75.0,15.0
2021-01-01 00:15:00+00:00,66.33333333333333,15.0
2021-01-01 00:30:00+00:00,63.66666666666666,15.0
2021-01-01 00:45:00+00:00,75.0,15.0
2021-01-01 01:00:00+00:00,70.0,15.0
2021-01-01 01:15:00+00:00,73.33333333333333,15.0
2021-01-01 01:30:00+00:00,77.66666666666667,15.0
2021-01-01 01:45:00+00:00,75.33333333333333,15.0
2021-01-01 02:00:00+00:00,78.33333333333333,15.0
2021-01-01 02:15:00+00:00,82.66666666666667,15.0
2021-01-01 02:30:00+00:00,80.33333333333333,15.0
2021-01-01 02:45:00+00:00,68.33333333333333,15.0
2021-01-01 03:00:00+00:00,78.66666666666667,15.0
2021-01-01 03:15:00+00:00,73.33333333333333,15.0
2021-01-01 03:30:00+00:00,77.0,15.0
2021-01-01 03:45:00+00:00,78.66666666666667,15.0
2021-01-01 04:00:00+00:00,78.66666666666667,15.0
2021-01-01 04:15:00+00:00,78.0,15.0
2021-01-01 04:30:00+00:00,81.33333333333333,15.0
2021-01-01 04:45:00+00:00,81.33333333333333,15.0
2021-01-01 05:00:00+00:00,78.33333333333333,15.0
2021-01-01 05:15:00+00:00,83.0,15.0
2021-01-01 05:30:00+00:00,86.33333333333333,15.0
2021-01-01 05:45:00+00:00,78.0,15.0
2021-01-01 06:00:00+00:00,82.33333333333333,15.0
2021-01-01 06:15:00+00:00,87.33333333333333,15.0
2021-01-01 06:30:00+00:00,84.33333333333333,15.0
2021-01-01 06:45:00+00:00,91.66666666666669,15.0
2021-01-01 07:00:00+00:00,86.0,15.0
2021-01-01 07:15:00+00:00,83.0,15.0
2021-01-01 07:30:00+00:00,82.0,15.0
2021-01-01 07:45:00+00:00,90.66666666666669,15.0
2021-01-01 08:00:00+00:00,78.0,15.0
2021-01-01 08:15:00+00:00,89.33333333333333,15.0
2021-01-01 08:30:00+00:00,94.0,15.0
2021-01-01 08:45:00+00:00,88.66666666666667,15.0
2021-01-01 09:00:00+00:00,87.66666666666667,15.0
